Name,ApiName,IsCustom,Description,IngestedBy,PopulatedBy,CreatedBy,CreatedDate,LastModifiedBy,LastModifiedDate,Owners,Stakeholders,IsFollowing,Definition,Notes,ManagedPackage,RawSalesforceId,SourceUrl
Flow Record Relation,FlowRecordRelation,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/FlowRecordRelation/Details/view
Flow Share,FlowRecordShare,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/FlowRecordShare/Details/view
Flow Version,FlowRecordVersion,False,,Fivetran Data Loader,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/FlowRecordVersion/Details/view
Flow Version Occurrence,FlowRecordVersionOccurrence,False,,Fivetran Data Loader,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/FlowRecordVersionOccurrence/Details/view
Flow Interview Stage Relation,FlowStageRelation,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/FlowStageRelation/Details/view
Flow Test Result,FlowTestResult,False,,Fivetran Data Loader,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/FlowTestResult/Details/view
Flow Test Result Share,FlowTestResultShare,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/FlowTestResultShare/Details/view
Flow Test View,FlowTestView,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/FlowTestView/Details/view
Flow Variable,FlowVariableView,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/FlowVariableView/Details/view
Flow Version,FlowVersionView,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/FlowVersionView/Details/view
Folder,Folder,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/Folder/Details/view
